문제번호,선택지A,선택지B
28,친구들과 함께 100km 자전거 투어,연인과 전동킥보드 나들이
29,아침 일찍 등산로 개방과 동시에 산행,저녁 어둑할 때 산악 자전거 라이딩
30,전망 좋은 루프탑 바에서 칵테일 2잔,조용한 와인 바에서 와인 한 잔
31,출근 전 헬스장 조조 PT,퇴근 후 야간 요가 클래스
32,밤새 마라톤 대회 참가,새벽 사이클링 대회 참가
33,혼자 영화관 레이디스 데이 관람,친구들 모여서 1+1 팝콘 나눠 먹으며 관람
34,실내 VR 서바이벌 게임 도전,야외 페인트볼 서바이벌 게임 도전
35,길거리 푸드트럭에서 저녁 한 끼,미쉐린 스타 셰프 팝업 디너
36,아침 7시 조조 필라테스,저녁 8시 힙합 댄스 클래스
37,새벽 2시 편의점 컵밥 야식,밤 11시 분식집 튀김 야식
38,비밀의 숲 속 글램핑 장비 챙겨 떠나기,글램핑 리조트 풀 파티 즐기기
39,한겨울 얼음낚시 체험,한여름 수상 레저 체험
40,공중 곤돌라 타고 산 정상 오르기,모노레일 타고 계곡으로 내려가기
41,1박 2일 캠핑카 여행,1박 2일 게스트하우스 여행
42,시티투어버스 타고 도심 한 바퀴,도보로 골목 여행하기
43,카페에서 노트북으로 원격 근무,카공 카페에서 친구와 협업
44,영화 OST 듣고 감상평 쓰기,K-pop 팟캐스트 듣고 토크 참여
45,노을 질 때 자전거 타기,별빛 내리는 밤 산책
46,온라인 서핑하며 레시피 찾기,책으로 요리책 대여해 레시피 찾기
47,단골 맛집에서 늘 먹던 메뉴,새로 생긴 퓨전 맛집 신메뉴
48,현지 축제 퍼레이드 참여,거리 버스킹 관람
49,친구들과 즉석 피자 만들기 클래스,스시 장인에게 초밥 배우기 클래스
50,패키지 여행으로 주요 명소만 쓱 둘러보기,자유여행으로 골목길 깊숙이 탐험하기
51,눈 내리는 날 온천 마을 방문,밤하늘 별 보이는 사막 캠핑
52,도심 속 루프탑 영화 상영,숲속 자연 속 야외 영화 상영
53,새벽 해돋이 서핑 클래스,저녁 일몰 서핑 클래스
54,이른 아침 바리스타 클래스,늦은 밤 칵테일 클래스
55,전통시장 좌판에서 길거리 간식,프랜차이즈 카페 디저트
56,숙소 앞 바다에서 파도 소리 듣기,도심 창문 너머 도심 소리 듣기
57,아침 조깅 뒤 도심 카페로 이동,저녁 조깅 뒤 야시장으로 이동
58,무인도 생존 체험 교실,사막 사파리 체험 교실
59,자전거로 강변 일주,스쿠터로 도시 일주
60,2인용 패러글라이딩,4인용 패러글라이딩
61,무료 박물관 투어 가이드,유료 미술관 오디오 가이드
62,비오는 날 우산 쓰고 도심 산책,눈오는 날 우비 입고 공원 산책
63,배 위에서 조식 크루즈,카페 선상 브런치 크루즈
64,한강 잠수함 체험,도심 헬리콥터 투어
65,도심 속 비밀 정원 찾기,교외 옥상 텃밭 찾기
66,중세 성 체험 복식 대여,퓨처리스틱 코스프레 체험
67,음악 페스티벌 캠핑 존,아트 페어 전시 존
68,밤새 벽화 그리기 마라톤,낮 시간 그래피티 투어
69,이른 아침 사막 열기구 투어,늦은 오후 열기구 투어
70,해질녘 요트 위 칵테일,한밤중 해변 모닥불 파티
71,오전 조류 관찰 투어,오후 천문 관측 투어
72,이른 아침 맹그로브 카약,한낮 마운틴 바이크 투어
73,동굴 탐험 투어,절벽 트레킹 투어
74,가족과 함께 농장 체험,친구들과 와이너리 투어
75,도시 속 스탬프 랠리,산속 오리엔티어링
76,공항 라운지 이용,공항 근처 호텔 투숙
77,배낭 하나로 백패킹,트렁크 끌고 패키지 여행
78,버스 타고 전국 일주,기차 타고 전국 일주
79,스쿠터 공유 서비스 이용,택시 호출 서비스 이용
80,스키 시즌권 구매,스노보드 렌탈만 이용
81,사이클링 대회 참가,마라톤 대회 참가
82,도시락 준비해 출근,배달 앱으로 점심 해결
83,오전 등산,오후 미술관 관람
84,새벽 3시 야간 트레킹,오후 3시 낮 트레킹
85,해파리 보러 해양 박물관,공룡 보러 자연사 박물관
86,도심 자전거 대여,해변 전기 자전거 대여
87,편의점에서 즉석 케이크 사기,베이커리에서 구운 케이크 사기
88,친구와 이른 아침 수영,친구와 늦은 밤 수영
89,첫눈 오는 날 눈사람 만들기,첫비 오는 날 빗방울 감상
90,강변에서 바비큐 파티,야외 카페에서 브런치 파티
91,열차 침대칸 숙박 체험,캠핑 텐트 취침 체험
92,SNS 라이브로 여행 중계,블로그에 사진일기 남기기
93,차박 캠핑카 앞 영화 상영,글램핑 객실 앞 영화 상영
94,해외 현지인 집에서 홈스테이,럭셔리 리조트 풀빌라
95,친구와 새벽 도시 자전거,친구와 오후 도심 자전거
96,골목 안 숨은 맛집 찾기,인터넷 리뷰 높은 맛집 찾기
97,1일 문화재 복원 봉사,1일 환경 정화 봉사
98,모래사장 위 요가 클래스,루프탑 요가 클래스
99,가이드 없이 사막 횡단,가이드와 함께 정글 탐험
100,한겨울 얼음낚시,한여름 선셋 서핑
