분야,내용
야생,북극곰은 실제로는 하얀 털이 아니라 투명한 털을 가지고 있다.
법,독일에서는 자동차 고속도로에서 연료가 떨어지면 벌금을 물 수 있다.
기계,증기기관은 산업혁명의 핵심 기술 중 하나였다.
생태,산호초는 바다의 열대우림이라 불릴 정도로 생물 다양성이 높다.
지질학,아이슬란드는 유라시아판과 북아메리카판의 경계 위에 놓여 있다.
광고,사람은 광고에서 얼굴을 보면 제품에 더 신뢰를 갖는 경향이 있다.
문화재,앙코르와트는 세계 최대의 종교 사원 단지이다.
영화,스타워즈의 '광선검' 소리는 실제 전기음과 프로젝터 소리를 섞어 만들었다.
동물,하마는 땀 대신 붉은 기름을 분비하여 피부를 보호한다.
바다,심해어는 수압에 적응하기 위해 부레 대신 지방을 활용한다.
신체,인간의 코는 1조 개 이상의 냄새를 구분할 수 있다.
수학,"파이(π)는 무한소수로, 지금도 컴퓨터로 소수점 계산이 이어지고 있다."
건축,로마의 콜로세움은 2천 년이 지난 지금도 견고하게 남아 있다.
철학,칸트는 인간의 이성이 경험에 의존한다고 주장했다.
교육,핀란드의 초등학교에서는 7세부터 정식 교육을 시작한다.
의류,한복은 계절에 따라 색과 소재가 다르게 사용된다.
환경,빙하가 녹으면서 고대 바이러스가 다시 등장할 수 있다는 경고가 있다.
문학,괴테의 '젊은 베르테르의 슬픔'은 유럽에 자살 유행을 일으켰다.
전기,전기의 흐름은 음극에서 양극으로 흐른다고 배웠지만 실제로는 그 반대이다.
자동차,테슬라는 1초에 15개의 데이터를 수집해 자율주행 알고리즘을 학습시킨다.
항공,"콘코드는 음속보다 빠른 초음속 여객기로, 2003년 운항을 종료했다."
통신,블루투스는 덴마크의 왕 하랄드 블라톤의 이름에서 유래되었다.
우편,세계 최초의 우표는 1840년 영국에서 발행된 '페니 블랙'이다.
지하,지하철 1호선은 서울에서 1974년 처음 개통되었다.
인체,사람의 눈은 1천만 가지 이상의 색을 구분할 수 있다.
음식,파인애플은 한 개가 자라는 데 2년이 걸린다.
화학,헬륨은 유일하게 절대영도에서도 액체 상태를 유지하는 원소이다.
동물,플라밍고의 분홍색은 먹이로 먹는 새우의 색소에서 유래한다.
기술,세계 최초의 웹사이트는 1991년 CERN에서 만들어졌다.
수학,0이라는 개념은 고대 인도에서 처음 사용되었다.
철도,일본 신칸센의 평균 지연 시간은 1년에 1분 이내다.
문화,이탈리아에서는 커피에 우유를 넣는 것은 아침에만 허용되는 문화가 있다.
천문,화성에는 태양계에서 가장 큰 화산 '올림푸스 몬스'가 있다.
동물,"카멜레온은 기분, 온도, 빛에 따라 색을 바꾼다."
언어,중국어는 같은 발음이라도 성조에 따라 의미가 달라진다.
역사,청동기는 석기시대와 철기시대 사이에 존재했다.
지리,카자흐스탄은 세계에서 가장 큰 내륙국이다.
의학,백색소음은 수면의 질을 높이는 데 도움을 줄 수 있다.
사회,북유럽 국가는 세계에서 가장 높은 조세부담률을 가지고 있다.
미술,반 고흐는 생전 단 한 점의 그림만을 팔았다.
경제,세계에서 가장 비싼 커피는 '코피 루왁'으로 사향고양이의 소화 과정을 거친다.
종교,불교는 윤회와 업보를 핵심 개념으로 삼는다.
심리,사람은 익숙한 음악을 들을 때 도파민이 분비된다.
환경,아마존 우림은 지구 산소의 약 20%를 생산한다.
자연,북극보다 남극이 더 춥다.
교통,"베이징에는 하루 약 2,200만 대의 차량이 운행된다."
기상,엘니뇨는 전 세계 기후에 큰 영향을 주는 해양 현상이다.
패션,타이츠는 원래 남성용으로 시작된 의류였다.
음악,비틀즈는 '빌보드 핫100' 차트에서 20곡 이상 1위를 차지한 유일한 밴드다.
물리,광자는 질량이 없지만 에너지를 가진다.
우주,태양은 전체 질량의 99.8%를 차지한다.
건강,짧은 낮잠은 기억력과 집중력을 향상시킨다.
식물,"대나무는 가장 빠르게 자라는 식물로, 하루에 90cm 이상 자랄 수 있다."
교육,핀란드의 초등학교에서는 숙제를 거의 내지 않는다.
철학,헤겔은 변증법을 통해 진리의 발전 과정을 설명했다.
심리학,군중 속에서는 개인의 책임감이 줄어드는 '책임 분산' 현상이 일어난다.
건축,아테네의 파르테논 신전은 도리아 양식의 대표적인 건축물이다.
화학,소금(NaCl)은 순수한 상태에서는 무색 투명하다.
동물,펭귄은 무리를 지어 체온을 유지한다.
언어,아랍어는 오른쪽에서 왼쪽으로 쓰는 언어이다.
기술,양자컴퓨터는 0과 1이 아닌 큐비트를 사용한다.
스포츠,NBA의 3점 라인은 1979년에 도입되었다.
전기,정전기는 습도가 낮은 환경에서 더 쉽게 발생한다.
음료,홍차와 녹차는 같은 찻잎에서 만들어지지만 산화 과정이 다르다.
기후,사하라 사막은 1년에 25mm 이하의 강수량만을 기록한다.
지형,빙하가 녹으며 형성된 호수는 '빙식호'라고 불린다.
전통,중국의 용춤은 새해에 행운을 부르는 의식이다.
사회학,도시화는 농촌 인구가 도시로 이동하면서 발생하는 사회현상이다.
미술,피카소는 '입체주의'라는 미술 사조를 창시했다.
통신,모스 부호는 전기 신호를 통해 문자를 전달하는 초기 방식이다.
의류,데님은 원래 작업복용으로 제작되었지만 현재는 패션 아이템으로 자리잡았다.
철도,프랑스의 TGV는 시속 574km까지 도달한 고속열차이다.
경제학,애덤 스미스는 현대 경제학의 아버지로 불린다.
기술,"자율주행차는 카메라, 레이더, 라이다 센서를 조합하여 주변을 인식한다."
음악,국악의 대표 악기인 해금은 두 줄로 구성되어 마찰음으로 연주된다.
음식,사워크라우트는 독일의 절인 양배추 발효 음식이다.
경제,경기 침체는 일정 기간 동안 GDP가 감소하는 경제 상태를 의미한다.
사회,청년 주거 문제는 도시 인구 집중과 임대료 상승으로 악화되고 있다.
지리,아이슬란드는 유럽과 북미 지각판이 만나는 곳에 위치해 지열 활동이 활발하다.
우주,천왕성은 자전축이 거의 누워 있어 독특한 계절 변화를 겪는다.
스포츠,럭비는 타원형 공을 사용하는 팀 스포츠로 몸싸움이 많은 경기이다.
역사,카이로 회담은 제2차 세계대전 중 연합국의 아시아 전략을 논의한 회담이다.
언어,힌디어는 인도에서 가장 많이 사용되는 공용어 중 하나이다.
미술,인상주의 화가들은 야외에서 순간의 빛과 색을 표현하려 했다.
기후,극지방은 낮과 밤이 계절에 따라 수개월 동안 지속되기도 한다.
건축,지붕의 경사도는 지역의 강수량과 기후에 따라 다르게 설계된다.
화학,산화는 물질이 산소와 결합하거나 전자를 잃는 반응이다.
의학,시력은 나이에 따라 자연스럽게 감소하는 경향이 있다.
동물,펭귄은 날지 못하지만 물속에서는 날듯이 헤엄친다.
문학,단테의 '신곡'은 중세 유럽의 종교관과 인간상을 묘사한 서사시이다.
경제학,조세정책은 정부의 재정 수입 조절과 경제 안정화 수단으로 활용된다.
자연,간헐천은 지하수가 고온의 암석과 만나 증기압으로 분출되는 현상이다.
철학,존 롤스는 '정의론'에서 정의를 공정성으로 해석했다.
음료,버블티는 대만에서 시작된 밀크티에 타피오카 펄을 넣은 음료이다.
기술,"NFC는 근거리 무선 통신 기술로, 교통카드나 간편결제에 활용된다."
문화,독일의 크리스마스 마켓은 유럽에서 가장 오래된 전통 중 하나이다.
지질학,조산대는 판이 충돌하면서 형성된 산맥 지대이다.
기상,비구름은 일반적으로 적운형 구름이 발달해 형성된다.
우주,국제우주정거장은 여러 국가가 공동 운영하며 지구를 약 90분마다 한 바퀴 돈다.
언어학,방언은 동일한 언어 내에서도 지역에 따라 발음과 어휘가 다른 형태이다.
음식,"삼계탕은 인삼, 찹쌀, 대추를 넣은 한국의 보양식이다."
건축,근대 건축은 장식보다 기능과 구조를 강조한 형태로 발전했다.
스포츠,"빙상 종목에는 피겨, 쇼트트랙, 스피드스케이팅 등이 있다."
환경,바이오매스는 식물 유기체에서 얻은 재생 가능 에너지원이다.
경제,환율 변동은 수출입 기업의 이익에 직접적인 영향을 준다.
역사,베르사유 조약은 제1차 세계대전의 전후 처리 결과로 체결되었다.
기술,딥러닝은 인간의 뇌 구조를 모방한 인공신경망 기반 기계학습 기술이다.
사회학,청소년기는 자아 정체성과 독립성이 형성되는 중요한 시기이다.
우주,중력은 우주에서 별과 행성 형성에 중요한 역할을 한다.
음악,재즈는 즉흥 연주와 블루 노트가 특징인 음악 장르이다.
철학,스토아 학파는 이성을 중시하고 감정을 절제하는 삶을 강조했다.
동물,늑대는 가족 단위 무리를 이루며 협동 사냥을 한다.
의학,면역은 외부 병원체에 대한 방어 시스템을 구성하는 생체 반응이다.
언어,"한국어는 교착어로, 조사와 어미를 통해 문법 기능을 표현한다."
자연,화산섬은 해저 화산 활동으로 인해 바다 위로 솟아오른 지형이다.
문화재,이스탄불의 톱카프 궁전은 오스만 제국의 대표적 궁전이다.
음식,페타치즈는 그리스에서 유래한 염소젖 또는 양젖 치즈이다.
건축,"고딕 건축은 첨탑, 스테인드글라스, 뾰족한 아치가 특징이다."
스포츠,서핑은 바다의 파도를 타는 해양 스포츠로 균형감각이 중요하다.
기상,이상고온은 계절 평균보다 현저히 높은 기온이 일정 기간 지속되는 현상이다.
경제학,"총수요는 가계, 기업, 정부, 해외의 모든 지출을 합한 값이다."
기술,"5G는 초고속, 초저지연, 초연결을 특징으로 하는 차세대 통신망이다."
음악,"가야금은 한국 전통 현악기로, 열두 개의 줄을 튕겨서 연주한다."
음식,비빔밥은 다양한 나물과 고기를 밥 위에 얹고 고추장과 함께 비벼 먹는 한국 요리다.
기술,"챗봇은 고객 상담, 예약, 주문 등 다양한 서비스에서 활용된다."
동물,코알라는 하루 4시간 정도만 깨어 있으며 대부분을 자는 데 보낸다.
기상,우박은 강한 상승 기류가 있을 때 대기 중에서 물방울이 얼어 형성된다.
사회,1인 가구의 증가는 주거 문화와 소비 패턴에 큰 영향을 미치고 있다.
경제,디플레이션은 물가가 전반적으로 지속적으로 하락하는 현상이다.
건축,스마트홈은 IoT 기술을 활용해 자동으로 제어되는 주거 공간을 의미한다.
철학,하이데거는 인간 존재를 '세계-내-존재'로 설명했다.
우주,명왕성은 2006년 국제천문연맹에 의해 왜행성으로 재분류되었다.
음료,아메리카노는 에스프레소에 물을 추가하여 농도를 낮춘 커피이다.
지리,스칸디나비아 반도는 노르웨이와 스웨덴이 위치한 반도이다.
역사,그리스-페르시아 전쟁은 서양과 동양의 문명 충돌로 평가된다.
의학,백신은 병원체의 항원을 주입하여 면역 반응을 유도한다.
스포츠,조정 경기는 팀이 함께 노를 저어 가장 빠르게 도착하는 수상 스포츠이다.
언어,영어의 단어 'night'는 과거 고대 영어 'niht'에서 유래했다.
문화,"호주의 애보리진은 독특한 예술과 음악, 신화를 지닌 원주민 문화이다."
환경,해양 산성화는 이산화탄소 흡수로 인해 바닷물의 pH가 낮아지는 현상이다.
기후,온난다습한 지역은 연중 높은 습도와 온도를 유지한다.
경제학,케인스는 정부의 재정 지출 확대를 통해 경제를 회복할 수 있다고 보았다.
음악,첼로는 바이올린보다 크고 낮은 음역을 연주하는 현악기이다.
건축,천창은 건축물 지붕에 설치된 유리창으로 자연광을 실내에 유입시킨다.
사회,노키즈존은 어린이의 출입을 제한하는 공간을 의미한다.
기술,OLED는 백라이트 없이 스스로 빛을 내는 디스플레이 기술이다.
자연,만조는 달과 태양의 인력이 지구의 바다를 끌어당길 때 발생한다.
동물,침팬지는 도구를 사용하는 몇 안 되는 동물 중 하나다.
언어학,"어휘론은 단어의 의미와 구조, 관계를 연구하는 언어학 분야이다."
스포츠,스케이트보드는 네 바퀴가 달린 판 위에서 기술을 구사하는 스포츠이다.
기상,열섬 현상은 도심이 주변보다 더 뜨거운 기후를 형성하는 현상이다.
문화재,몽골의 카라코룸은 칭기즈 칸 제국의 수도였던 유적지이다.
음식,"부리또는 또띠아에 콩, 고기, 야채 등을 말아 넣은 멕시코 음식이다."
역사,십자군 전쟁은 종교적 동기 외에도 경제·정치적 목적이 결합된 전쟁이었다.
우주,"혜성은 태양 근처를 지날 때 꼬리가 형성되며, 이는 태양풍 때문입니다."
사회학,젠더는 사회적·문화적으로 구성된 성 역할과 정체성을 의미한다.
음악,트럼펫은 금관악기 중 음역이 높고 날카로운 소리를 낸다.
지질학,암염은 바닷물이 증발하면서 생성된 퇴적암이다.
의학,"호흡기는 폐렴, 기관지염 등 호흡기 질환을 치료·예방하는 장비이다."
경제,프리미엄 전략은 고가 정책을 통해 브랜드 가치를 강조하는 마케팅 방식이다.
건축,로프트 구조는 천장이 높고 중2층을 활용한 개방형 주거 공간이다.
기술,마이크로칩은 전자기기 내 정보 처리와 제어 기능을 담당한다.
언어,한자어는 한국어 어휘 중 상당 비중을 차지하며 주로 명사에 많이 쓰인다.
우주,블랙홀은 빛조차 빠져나올 수 없는 중력이 극도로 강한 공간이다.
역사,독일의 통일은 1990년 베를린 장벽 붕괴 이후 이루어졌다.
음식,타코는 옥수수 또띠아에 다양한 속재료를 넣고 접어서 먹는 멕시코 음식이다.
기후,온대기후는 사계절이 뚜렷하며 중위도 지역에 분포한다.
사회,워라밸은 '일과 삶의 균형'을 뜻하는 표현이다.
경제학,유효수요는 실제 시장에서 구매할 수 있는 구매력 있는 수요이다.
스포츠,"승마 경기에는 마장마술, 장애물 경기, 크로스컨트리 등이 있다."
음악,바순은 목관악기 중 가장 낮은 음을 담당한다.
의학,혈소판은 출혈 시 혈액 응고를 도와 상처를 막는 역할을 한다.
건축,버킹엄 궁전은 영국 왕실의 공식 거처로 775개의 방이 있다.
기술,양자컴퓨터는 큐비트를 활용해 고전 컴퓨터보다 빠른 계산이 가능하다.
음악,"오보에는 더블 리드를 사용하는 목관악기로, 특유의 선명한 음색을 낸다."
음식,"호떡은 한국의 겨울 간식으로, 설탕과 견과류가 들어간 밀가루 반죽을 구워 만든다."
기상,이슬점은 공기가 포화되어 수증기가 물방울로 응결하기 시작하는 온도다.
동물,알파카는 침을 뱉어 의사소통하거나 방어 행동을 한다.
역사,마그나카르타는 1215년 영국에서 왕권을 제한한 최초의 헌법적 문서다.
우주,목성의 대적점은 수백 년 동안 존재한 거대한 폭풍이다.
경제,보복관세는 특정 국가의 수출품에 대해 보복성으로 부과하는 관세다.
사회,시니어 창업은 고령 인구의 경제 참여를 확대하기 위한 정책 중 하나다.
지리,우랄산맥은 유럽과 아시아의 경계를 이루는 산맥이다.
문화,한글날은 1446년 훈민정음이 반포된 것을 기념하는 날이다.
의학,장기 기증은 사망 후 또는 생존 시 자신의 장기를 다른 사람에게 이식하는 행위이다.
철학,니체는 전통 도덕을 부정하고 ‘초인’ 개념을 통해 새로운 가치를 제시했다.
스포츠,라크로스는 공을 채에 담긴 스틱으로 주고받으며 득점하는 경기이다.
음료,"마테는 남미에서 즐겨 마시는 허브차로, 에너지를 북돋우는 효과가 있다."
건축,"페르시아 건축은 돔과 타일 무늬, 이완된 내부 공간이 특징이다."
언어,문어체는 글쓰기에서 사용되는 격식 있는 표현 방식이다.
자연,빙붕은 극지방 해안에 형성된 커다란 부유 얼음 지대이다.
미술,미니어처 화풍은 중세 유럽 필사본 장식에서 비롯되었다.
기술,3D 스캐너는 실물 객체를 디지털 모델로 변환하는 장치이다.
음식,차돌박이는 소의 가슴 부위로 얇고 부드러운 식감을 가진다.
기상,산안개는 산악지형에서 상승한 공기가 냉각되며 생기는 안개다.
사회,디지털 디톡스는 전자기기 사용을 줄이고 휴식을 취하는 활동이다.
경제학,비용편익분석은 정책이나 사업의 경제적 타당성을 평가하는 기법이다.
동물,수달은 먹이를 먹을 때 돌을 도구로 사용하여 조개껍데기를 깬다.
우주,토성의 고리는 얼음과 암석 조각으로 구성되어 있다.
음악,사운드바는 TV 음향 보강을 위해 사용되는 막대형 스피커다.
언어학,은유는 유사성을 통해 간접적으로 의미를 전달하는 표현 방식이다.
역사,대항해시대는 유럽이 신대륙과 해양 세계를 탐험하던 시기이다.
건축,전통 한옥은 자연과의 조화를 중시하며 마루와 온돌 구조를 갖는다.
음료,보이차는 발효 과정을 거친 중국 윈난성의 흑차다.
기후,북극해는 여름에도 일부가 얼음으로 덮여 있으며 해빙 속도가 빨라지고 있다.
문화,"사물놀이에는 꽹과리, 장구, 북, 징이 사용된다."
기술,하이브리드 클라우드는 퍼블릭과 프라이빗 클라우드를 혼합한 환경이다.
스포츠,하키는 얼음 또는 인조 잔디 위에서 스틱으로 공을 다루는 경기다.
지질학,단층은 지각의 균열을 따라 암석이 이동한 구조이다.
사회학,에이징 인 플레이스는 노인이 자신이 살던 곳에서 노후를 보내는 것을 의미한다.
음식,잡채는 당면에 각종 채소와 고기를 넣고 간장 양념으로 볶은 음식이다.
의학,"우울증은 장기간 지속되는 슬픔, 무기력, 집중력 저하 등의 증상을 포함한다."
철학,"동양 철학은 조화, 자연, 공동체를 중시하는 경향이 있다."
경제,소득세는 개인의 소득에 부과되는 직접세이다.
우주,소행성대는 화성과 목성 사이에 위치한 작은 천체들의 띠다.
언어,감탄사는 감정을 직접 표현하며 문법적으로 독립된 어휘이다.
기술,"생체인식 기술은 지문, 얼굴, 홍채 등을 인식해 본인을 인증한다."
음악,"대금은 한국의 전통 관악기로, 긴 대나무로 만들어져 낮고 풍부한 소리를 낸다."
우주,태양의 질량은 태양계 전체 질량의 약 99.86%를 차지한다.
음식,칼국수는 밀가루 반죽을 손으로 썰어 만든 한국 전통 면요리이다.
기술,API는 소프트웨어 간 상호작용을 가능하게 해주는 인터페이스이다.
역사,임진왜란은 1592년 일본이 조선을 침략하며 시작되었다.
동물,"북극곰의 주요 먹이는 바다표범이며, 주로 얼음 위에서 사냥한다."
음악,첼레스타는 금속 판을 두드려 맑은 종소리 같은 음을 내는 건반 악기이다.
경제,부가가치세는 제품이나 서비스에 부가된 가치에 대해 부과되는 간접세이다.
사회,프리터족은 정규직이 아닌 프리랜서와 파트타임을 병행하는 노동자 유형이다.
건축,로마의 판테온은 고대 로마 신들에게 바쳐진 원형 신전이다.
기상,번개는 대기 중 정전기가 방전되며 발생하는 강한 전기 현상이다.
음료,루이보스 티는 남아프리카에서 유래된 카페인이 없는 차이다.
지리,스페인의 토레몰리노스는 지중해 연안의 유명한 해변 도시이다.
철학,"데카르트는 '나는 생각한다, 고로 존재한다'는 말로 근대철학의 기초를 세웠다."
문화,"일본의 다도는 예절, 미학, 정신 수양을 중요시하는 문화이다."
언어,"프랑스어는 로망스어군에 속하며, 전 세계 30개국 이상에서 사용된다."
기술,디지털 서명은 전자 문서의 무결성과 인증을 보장하는 방식이다.
스포츠,"트라이애슬론은 수영, 자전거, 달리기를 연속으로 수행하는 경기이다."
우주,화성의 대기 대부분은 이산화탄소로 이루어져 있다.
음식,"오꼬노미야키는 일본식 부침개로, 양배추와 해산물 등을 넣어 만든다."
의학,심전도(ECG)는 심장의 전기적 활동을 기록하는 검사 방법이다.
경제학,"공공재는 소비에서 배제될 수 없고, 사용에 경쟁이 없는 재화를 말한다."
사회학,정보격차는 정보 접근성과 활용 능력의 차이로 생기는 사회적 불균형이다.
동물,펠리컨은 큰 부리주머니를 이용해 물고기를 잡는다.
기후,지중해성 기후는 겨울에 비가 많고 여름엔 매우 건조한 것이 특징이다.
음악,유로비전 송 콘테스트는 유럽 국가들이 참가하는 국제 음악 경연이다.
역사,세계 대공황은 1929년 미국 증시 폭락으로 시작되었다.
건축,현대 건축은 철근 콘크리트와 유리 소재를 활용한 미니멀 디자인이 많다.
음료,"아이스 바닐라 라떼는 에스프레소에 우유, 바닐라 시럽, 얼음을 넣어 만든다."
지리,핀란드는 수천 개의 호수를 보유하고 있어 '천 개의 호수의 나라'라 불린다.
언어학,"음운은 말소리의 최소 단위로, 의미를 구별해주는 소리 요소이다."
기술,HTML은 웹페이지의 구조를 정의하는 마크업 언어이다.
음식,"쌀국수는 베트남의 대표적인 면 요리로, 맑은 육수와 함께 제공된다."
사회,비혼주의는 결혼을 선택하지 않는 삶의 방식이다.
우주,"금성은 지구와 유사한 크기를 가졌지만, 대기는 두껍고 매우 뜨겁다."
철학,"실존주의는 인간의 자유, 고독, 선택의 중요성을 강조하는 사상이다."
기상,"뇌우는 번개, 천둥, 강한 바람, 집중 호우 등을 동반하는 폭풍우 현상이다."
동물,"박쥐는 유일하게 날 수 있는 포유류로, 초음파로 위치를 탐지한다."
음악,쇼팽은 낭만주의 시대의 대표적인 피아니스트이자 작곡가였다.
의학,"치매는 뇌 기능이 점차적으로 저하되는 질환군으로, 기억력 감퇴가 대표 증상이다."
경제,한계효용 체감의 법칙은 소비가 증가할수록 효용 증가 폭이 감소한다는 원리다.
건축,파르테논 신전은 도리아식 기둥 양식을 갖춘 고대 그리스 신전이다.
스포츠,"클라이밍은 인공 또는 자연 암벽을 오르는 스포츠로, 지구력과 기술이 필요하다."
기후,사막 기후 지역은 일교차가 매우 크고 강수량이 적다.
문화,"무형문화재는 형태가 없는 전통 기술, 예술, 지식 등을 의미한다."
음식,타르트는 얇은 파이 껍질 위에 과일이나 크림을 얹은 디저트이다.
우주,달은 지구에서 약 38만 km 떨어져 있으며 조석 간만의 차를 유발한다.
기술,딥페이크는 AI를 이용해 얼굴이나 음성을 정교하게 합성하는 기술이다.
기상,서브제로는 섭씨 0도 이하의 온도를 지칭하는 표현이다.
경제,마찰적 실업은 개인이 더 나은 직장을 찾는 동안 발생하는 일시적 실업이다.
사회,지방 소멸은 인구 감소로 인해 행정 기능이 유지되지 않는 지역이 늘어나는 현상이다.
언어,"알파벳은 소리 기반의 문자 체계로, 대부분의 언어에서 쓰인다."
의학,알레르기는 면역계가 무해한 물질에 과민 반응을 보이는 질환이다.
음악,시타르는 인도 전통 현악기로 독특한 공명 소리를 낸다.
동물,플라밍고는 식이 색소로 인해 깃털이 분홍색으로 물든다.
역사,미국 독립전쟁은 1775년에 시작되어 1783년에 종전되었다.
스포츠,리듬체조는 음악에 맞춰 도구를 이용해 동작을 표현하는 체조 종목이다.
기후,건조기후는 연 강수량이 증발량보다 적어 식생이 거의 없는 지역이다.
경제학,파킨슨의 법칙은 일이 주어진 시간만큼 늘어난다는 조직 이론이다.
건축,돔 구조는 원형 지붕으로 하중을 넓게 분산시키는 기능을 한다.
문화,콜럼버스의 달걀은 간단한 해결책이 무시되다 발견되는 사례를 의미한다.
기술,에지 컴퓨팅은 데이터를 생성된 지점에서 직접 처리하는 방식이다.
음료,에이드 음료는 과일 주스에 탄산수를 섞어 만든 상큼한 음료다.
지리,갈라파고스 제도는 독특한 생태계로 진화론 연구에 영향을 주었다.
철학,유물론은 물질이 근원이고 정신은 그 산물이라고 보는 입장이다.
언어학,형태소 분석은 문장을 구성하는 최소 의미 단위를 분리하는 작업이다.
사회학,세대 갈등은 시대별 가치관 차이에서 비롯되는 사회 현상이다.
음식,"젤라토는 이탈리아식 아이스크림으로, 크리미하고 밀도가 높다."
우주,우주의 나이는 약 138억 년으로 추정된다.
건축,복층 구조는 공간 활용도를 높이기 위해 바닥 일부를 두 겹으로 나눈 형태이다.
음악,"락밴드는 보통 보컬, 기타, 드럼, 베이스로 구성된다."
기상,스콜은 열대 지역에서 갑작스럽게 발생하는 폭풍우이다.
의학,건선은 피부가 붉고 두꺼워지며 각질이 생기는 만성 질환이다.
경제,GDP 대비 부채 비율은 국가의 재정 건전성을 가늠하는 지표 중 하나이다.
역사,한글은 세종대왕이 백성을 위해 만든 과학적인 문자 체계이다.
음식,무사카는 그리스의 전통 오븐 요리로 가지와 고기가 층을 이룬다.
사회,커뮤니티 케어는 지역사회 기반의 돌봄 시스템을 지향하는 정책이다.
동물,카멜레온은 피부색을 바꿔 위장하거나 감정을 표현할 수 있다.
스포츠,요트 경기는 바람을 이용해 항해 기술을 겨루는 해양 스포츠다.
기후,열대수렴대는 적도 부근에서 남북 반구의 기단이 만나는 지역이다.
기술,디지털 트랜스포메이션은 기업이 디지털 기술로 체질을 개선하는 과정을 말한다.
문화,"한지 공예는 전통 한지로 만든 조명, 장식품 등 한국 특유의 예술 형식이다."
지질학,"석영은 지각에서 가장 흔한 광물 중 하나로, 시계 유리에 쓰인다."
경제학,애로우의 불가능성 정리는 완벽한 선호 집계 방식이 없다는 이론이다.
음악,민속 음악은 지역 공동체의 전통과 일상을 반영하는 음악이다.
기상,폭염주의보는 기온이 33도 이상인 상태가 이틀 이상 지속될 때 내려진다.
음식,불닭볶음면은 매운맛을 강조한 한국의 인기 라면이다.
우주,은하는 수천억 개의 별과 가스를 포함한 거대한 천체 집합체다.
기술,리눅스는 무료로 사용할 수 있는 오픈소스 운영체제이다.
역사,고려청자는 고려 시대를 대표하는 청록색 도자기로 유명하다.
동물,"문어는 위장술이 뛰어나며, 색과 질감을 주변 환경에 맞춰 바꿀 수 있다."
음악,사운드트랙은 영화나 드라마의 분위기를 조성하는 음악을 말한다.
경제,최저임금제도는 근로자의 생활 안정을 위해 법적으로 보장된 최저 수준의 임금이다.
사회,슬세권은 슬리퍼를 신고도 생활 편의시설을 이용할 수 있는 주거 지역을 뜻한다.
건축,고딕 성당은 뾰족한 첨탑과 스테인드글라스가 특징이다.
기상,해풍은 낮 동안 육지로 불어오는 시원한 바람이다.
음료,"복숭아 아이스티는 과일향 홍차에 얼음을 넣은 음료로, 여름철 인기다."
지리,"몽골은 바다가 없는 내륙국이며, 초원 지형이 넓게 분포한다."
철학,라캉은 인간의 자아는 언어와 사회 구조 속에서 형성된다고 주장했다.
문화,한복은 색상과 문양에 따라 계급과 혼인 여부를 나타냈다.
언어,이모티콘은 감정을 시각적으로 표현한 디지털 기호이다.
기술,크롤링은 웹사이트에서 데이터를 자동으로 수집하는 기술이다.
스포츠,비치발리볼은 모래 위에서 두 명씩 팀을 이루어 경기를 한다.
우주,해왕성은 태양계에서 가장 바람이 강하게 부는 행성이다.
음식,탕수육은 튀긴 고기에 새콤달콤한 소스를 끼얹은 중국 요리다.
